Title,Summary
['Crypto Rallies As US Debt Ceiling Talks Continue'],"['Beacon Chain Withdrawal Queue Briefly Clears, Ether Jumps 3% By: Samuel Haig Crypto markets have started the week in the green, with Ether up nearly 3% at $1,860. Render (RNDR) is up 13% today and 60% in the past two weeks amid speculation that Apple’s rumored VR headset will leverage its decentralized graphics processing network. Kava, a Layer 1 blockchain that uses a co-chain architecture to offer compatibility with the Ethereum and Cosmos ecosystems, rallied 8%. Only five of the top 100 digital assets have posted losses of greater than 1% over the past 24 hours, according to CoinGecko. ETH last changed hands for $1,860 after tagging $1,875 earlier on Tuesday, according to The Defiant Terminal. Notably, crypto is showing signs of resilience despite major stock markets like the S&P 500 and Nasdaq losing over 1% today. The US dollar remains firm as debt ceiling negotiations continue. Ethereum is riding momentum from its Shapella upgrade six weeks ago, which activated staked Ether withdrawals for the first time. Following an initial spate of withdrawal requests, the queue for withdrawals briefly hit 0, according to Wen Merge. Meanwhile, the queue for onboarding validators has swelled to more than 68,000, meaning that one would need to wait for over a month before joining the network. According to Nansen, ETH locked up for staking is up by more than 8% since Shapella went live, at close to 21M. The data indicate that newly onboarded stakers and existing validators re-staking previously accumulated rewards have already offset the ETH withdrawn from the Beacon Chain. Ether has rallied 55% this year. Ethereum’s burn rate remains high as memecoin traders continue to drive elevated rates of on-chain activity. Nearly 60% of all Ether destroyed since the Merge was burned over the past 30 days, according to Ultra Sound Money. The memecoin flavor of the week appears to be pizza, with opportunistic scammers whipping up multiple rug-pulls on Bitcoin Pizza Day. On May 22, 2010, Laszlo Hanyecz, a programmer and early Bitcoin adopter, paid 10,000 BTC (worth over $270M today) for two pepperoni pizzas to demonstrate Bitcoin’s potential as a means of payment. In 24 hours, four of 14 pizza-related meme tokens were confirmed to be rug pulls, according to Dextools. A further five are believed to be honeypots, which are tokens which can be purchased but not sold. The scams are estimated to have raked in over $200,000. The combined market capitalization of DeFi assets is down on the month but up 37% year-to-date, currently sitting at $46.6B after starting May at $50B.  ']"
Title,Summary
['Memecoins Continue to Dominate DEX Volumes As Crypto Market Slides'],"[""Data Shows Rug Pulls On The Rise By: Owen Fernau While early buyers of memecoins like PEPE, TURBO, and WOJAK, have enjoyed a great start to the month, the broader market has been losing ground. BTC, ETH, and BNB, the largest three non-pegged digital assets, have all dropped over 5% in the past seven days. Despite that, the memecoin craze has continued, with the tokens’ cashtags dominating social media and tickers trending on decentralized exchanges — GeckoTerminal, a data platform developed by CoinGecko, showed that four of the top five trading pairs by volume in the past day were memecoins. At over $100M, LADYS, a token inspired by the recent craze around Milady NFTs, shows the second-highest volume of all trading pairs. A PEPE/WETH pair on Uniswap is the third-highest, with just over $78M in volume. Giorgi Khazaradze, CEO of Aurox, a software company which is developing a trading terminal, suggested that while memecoins were fun for some people, less sophisticated players are generally losing money on the assets. “\u200b\u200bThe insiders that are making bank, they're drawing liquidity out of the rest of the market, the rest of the retail,” Khazaradze told The Defiant. The CEO added that it takes a coordinated effort to push a token like PEPE to such a high market capitalization. “Getting a token, especially a meme token, to trend and to go up to a billion-dollar market cap is not easy,” he said. Khazaradze added that the memecoin craze won’t make crypto look any better in the eyes of the SEC, which has been pursuing litigation against digital asset projects all year. It’s generally not a sign of a healthy market when digital assets without use cases are topping charts. With tokens like PEPE, which emphasize their lack of utility on their website, valued higher than established DeFi tokens like Maker’s MKR, it raises the question of how useful these assets really are. To be sure, the crypto market can’t entirely be written off as unhealthy — while some would say the attention and capital attracted by memecoins is a waste, Uniswap, PancakeSwap, and other decentralized exchanges (DEXs) are the ones facilitating the trades. So while the memecoins traders are playing hot potato with may not provide lasting value, the DEXs that traders are using continue to show their worth. Khazaradze found certain sophisticated players deploying memecoins on a regular basis and then systematically pulling liquidity from them. This is one kind of scam known as a “rug pull.” Data provided by Aurox showed that the frequency of rug pulls is increasing. There were 140 rug pulls three weeks ago, 189 two weeks ago, and 279 in the past week, with the amounts drained getting larger each week, according to the data. In the past seven days alone, malicious developers have raked in over $90M. In all, these are the dog days of crypto. Massive regulatory uncertainty persists, making it difficult for legitimate projects to confidently move forward with their roadmaps. Khazaradze, who is planning to take Aurox public this year, says he constantly needs to change the language in his filings with the SEC as regulatory and enforcement actions take place. “One of the reasons you go public is because you want to increase transparency and accountability,” he said. “These memecoins are the antithesis of that. Complete opacity and no accountability.” ""]"
Title,Summary
['Markets Pull Back As Memecoin Mania Cools'],"['PEPE Crashes 50% From Friday Peak By: Samuel Haig Crypto markets are off to a shaky start this week. Sellers defended the $2,000 price level for Ether and confirmed resistance at $30,000 for Bitcoin, leading both assets to trade lower by around 7.5%. The total value locked in DeFi protocols dipped by 5% to $47.2B, according to DeFi Llama. The sector’s market capitalization is also down 7% at $46.4B, according to CoinGecko. The latest wave of memecoin madness appears subsiding for the moment, with PEPE shedding nearly $1B in value since Saturday. It now has a market capitalization of $864M after hitting $1.82B when Binance listed the token. Other memecoins are tumbling too, with TURBO crashing 62%, AIDOGE falling 53%, and FLOKI down 34% since the weekend began. Coingecko estimates memecoins are now worth $17.8B. Volumes on decentralized exchanges are high as traders trawl to find the next obscure token promising eye-watering gains. A 13% increase in Ethereum’s weekly on-chain activity drove a spike in the network’s burn rate, with 64,000 Ether worth $118M permanently removed from supply over the past week, according to Ultra Sound Money. The figure equates to one-third of the ETH burned since The Merge was activated eight months ago. Bitcoin is also suffering from high levels of congestion amid the recent rising popularity of BRC-20 tokens and NFTs. Average transaction fees spiked 10x since the start of May to tag a local high of $31 yesterday, according to Ycharts. Bitcoin fees have since pulled back to roughly $20. Arbitrum Nova’s daily transaction count surged more than 500% this past week, according to L2Beat. However, the network is processing a record 6 transactions per second (TPS), suggesting Nova’s adoption is only starting to take off. Nova launched last August, becoming the second chain in the Arbitrum ecosystem. Nova specializes in hosting web3 gaming and social applications. The increase in activity coincides with a nearly 60% decline in the TVL of Arbswap, the second-largest DEX on the network. StarkNet and Loopring are also enjoying a resurgence in on-chain activity, up 278% and 166%, respectively. StarkNet processed 1.5 TPS, down from a record high of 2.1 TPS last month, while Loopring executed just 0.1 TPS on average throughout the day, down from its high of 1.48 TPS last July. For comparison, Ethereum and Arbitrum each processed 13 TPS yesterday. Arbitrum is currently beating mainnet by 30-day volume, with the networks processing 35.3M and 31.1M transactions, respectively. ']"
Title,Summary
['Fed Hints At Pause After Another 25bps Hike'],"['Markets Trade Sideways With Ether Up 1% By: yyctrader Markets remained little changed after the Federal Reserve hiked interest rates for the 10th straight time, nudging the benchmark US rate up by another 0.25%. While equities turned lower after the decision, with the S&P 500 closing down 0.7%, crypto markets are trading sideways. Bitcoin is flat, and Ether is up less than a percentage point. Today’s hike could be the last in this series if economic conditions worsen, as the central bank said that any further increases would be data-dependent – a significant departure from its March statement, which “anticipate[d] that some additional policy firming may be appropriate.” Earlier in the day, a report from payroll-processing firm ADP showed that the private sector added 296,000 jobs in April, a nine-month high. This indicates that the US jobs market remains resilient in the face of tightening credit conditions. At a press conference following the decision, Fed chair Jerome Powell called the revised language a “meaningful change.” Investors are taking note. Fed funds futures already indicate a 90% probability of rates remaining unchanged in June, and predict rate cuts by the end of the year. A more accommodative stance by the US central bank would likely be a tailwind for crypto, which tends to thrive along with other risk assets like stocks when there is ample liquidity. Decentralized exchange Curve’s CRV token is up nearly 7% in the past 24 hours after the project deployed a smart contract related to its upcoming crvUSD stablecoin. Curve is DeFi’s fourth-largest protocol, with $5B in total value locked. Rocket Pool (RPL), the second-largest liquid staking protocol, is up over 5%. Among the top 100 digital assets by market capitalization, decentralized exchange Pancakeswap and liquid staking leader Lido have fallen around 9% over the past week. Radix, a layer 1 blockchain, is the worst performer with a 20% drop, according to Coingecko. ']"
Title,Summary
['Bitcoin Decouples From Stocks As Fed Decision Looms'],"['Daily Transactions Hit All-time High Driven By Ordinals By: Owen Fernau After remaining elevated for most of 2022, Bitcoin’s correlation to equities has plummeted to 12%, a level not seen since mid-2021. BTC vs World Stocks James Butterfill, head of research at the investment firm Coinshares, first pointed out the decoupling on Twitter. In an interview with The Defiant, he said he wasn’t surprised by the development. “Equities never do well, with the prospects of recession, but something like Bitcoin will do quite well because it’s like a monetary policy hedge,” he said, adding that the two are fundamentally different kinds of assets. In Butterfill’s view, the idea that Bitcoin is a leveraged bet on tech stocks is a flawed one. “It was very frustrating last year, when I just saw these tweets coming out saying Bitcoin is just another risk asset,” he said. “I thought that was such a naive and short-term view.” Bitcoin was largely grouped as “just another tech stock” in 2022 as rising interest rates seemed to bring down equities and crypto together. Now, with elevated rates starting to cause significant problems in the banking sector, BTC may be entering an environment where it can thrive while equities don’t. Butterfill emphasized that with the banking sector showing signs of stress, it’s clear that the US Federal Reserve may have made a mistake. The central bank is in a tough position – it can either lower rates, potentially pushing persistent inflation even higher, or it can raise rates, continuing to wreak havoc on the banking system. Bitcoin has tended to trend higher when banks fail, which has happened three times this year, going by the Federal Deposit Insurance Corporation’s (FDIC) count. The three failures represent three of the top four failures in US history based on the assets held by the institution at the time of failure. Jordi Alexander, an investor at Selini Capital who spoke to The Defiant about the “all one trade” phenomenon nearly a year ago, added that liquidity for BTC is currently low. This makes it easy for large buyers and sellers to push the price of the digital asset around. “A billion-dollar flow in either direction can be enough to overpower the equity correlation,” he said. Both Butterfill and Alexander think that if the United States enters a period of stagflation, characterized by low growth coupled with high inflation, BTC will have a chance to shine. And it’s not just Bitcoin. The digital asset’s correlation with gold rose to a two-year high in April, according to data provider Kaiko. As gold approaches its all-time high above $2,000/oz, Butterfill thinks the precious metal is also entering an environment where its relatively stable supply will attract capital. BTC correlation with Gold. Source: Kaiko Butterfill also noted that BTC tends to trade inversely with the dollar, and that if the Fed cuts interest rates tomorrow, the dollar index (DXY) will continue to slide. “Rates will probably stay elevated for some time, but they will start backing off,” he said. DXY has dropped nearly 10% in the last six months, according to TradingView. Outside of macroeconomics, Bitcoin usage is also picking up in a big way thanks to the advent of Ordinals, a way of storing data on the world’s most valuable blockchain. Transactions hit an all-time high on May 2 at roughly 682,000, according to BitInfoCharts. Bitcoin Daily Transactions ']"
Title,Summary
['Crypto Markets Plummet As Shapella Euphoria Fades'],"['Regulatory and Macro Fears Resurface By: Tarang Khaitan Crypto markets traded sharply lower over the past week, as euphoria over Ethereum’s successful Shapella upgrade wore off while regulatory and macroeconomic risks resurfaced. Ether hit an 11-month high of $2,100 on April 15 but has since plummeted nearly 15%, breaking its five-week streak of upward price action that began on March 10. Bitcoin shed 7% of its value in the past week after briefly trading above $30,000 for the first time since June 2022. Ether’s relative underperformance could be attributed to stakers withdrawing and selling their ETH after the Shapella upgrade. Since April 12, there have been net outflows of 546,000 ETH ($1.1B). ETH Net Staking Balance. Source: TokenUnlocks “The deteriorating sentiment among investors has reversed the initial euphoria that led to and shortly followed the Shapella upgrade, which was expected to drive more institutional investors to the asset,” said Daniel Takieddine, CEO of BDSwiss. In addition, the native ETH staking yield has dipped below 5% for the first time since March 31, according to Token Unlocks. While the US Federal Reserve has been trying for over a year to cool inflation by hiking interest rates, consumer prices remain elevated while riskier assets like tech stocks and crypto have faced a rough year. After the most recent 25bps hike in March, ETH and BTC dropped by 4%. Market participants overwhelmingly predict another 25 bps rate hike at the central bank’s next meeting on May 3. Meanwhile, US regulators continue to take aim at crypto. Congress is revisiting a draft bill that would require stablecoin issuers to provide monthly attestations of their reserves, along with banning certain types of algorithmic stablecoins. The SEC sued the Bittrex crypto exchange, alleging that it had sold unregistered securities in the form of tokens like ALGO and DASH. Decentralized exchange PancakeSwap’s CAKE governance token was the biggest loser among the top 100 digital assets, with a 24% drop in the past week. The project launched PancakeSwap V3 earlier this month, aimed at taking on the leading decentralized exchange Uniswap V3. PancakeSwap V3 on the BNB Chain has processed $131M of trades in the past 24 hours. The price action appears to be driven by an ongoing community debacle, which proposes to make CAKE an “ultrasound” token by drastically reducing CAKE emissions. An initial vote failed, as a whale with more than 98M CAKE tokens voted against the proposal. However, a similar proposal will be put up for a vote on April 26. ']"
Title,Summary
['Ether Surges To 11-Month High Despite $2B In Pending Withdrawals'],"['Staking Deposits Outpace Withdrawals On Friday By: Aleksandar Gilbert and Samuel Haig Ethereum’s long-awaited Shapella upgrade went over a day ago, yet there are no signs of the havoc some analysts predicted would ensue once staked Ether could be withdrawn. Ether defied expectations that a sudden flood of post-Shapella selling pressure could drive down the asset’s price, rallying 10.5% in the 24 hours following the upgrade. ETH last changed hands for $2,100, its highest level in 11 months. Ethereum’s bullish price action came in spite of the network processing a meaningful number of withdrawals, with 110,525validators removing 221,253 ETH ($445.6M) since the upgrade, according to Beaconcha.in. Staked Ether withdrawals were activated as part of Thursday’s Shapella upgrade, roughly 28 months after staking first launched. Meanwhile, deposits surged Friday and began to outpace withdrawals, according to Nansen, though the total amount of staked ETH remains below its pre-Shapella high. “It seems like we’re reaching a kind of equilibrium faster than expected,” Nansen analyst Andrew Thurman told The Defiant. “There are still very high net withdrawals, but the withdrawals are slowing in pace, and deposits are still coming in pretty hot. I expected that process to take weeks, maybe even months, and it looks like we’re heading towards supply hitting a sort of trench and maybe even picking up again sooner than anticipated.” According to Token Unlocks, 330,310 validators are waiting to make partial withdrawals, while 18,640 will entirely exit their positions, equating to 974,700 ETH ($2B) currently in the queue. Withdrawals are limited to 1,800 daily, or around 58,000 ETH, slowing the rate at which validators can exit. Kraken, the centralized exchange that agreed to wind down its custodial staking service after settling a lawsuit from the U.S. Securities and Exchange Commission in February, accounts for 63% of pending withdrawals. Data from Token Unlocks shows that 95% of withdrawn ETH comprised accumulated rewards as of Thursday evening New York time, meaning just 5% of stakers pulled out their initial deposits. Darren Langley, general manager of Rocket Pool, told The Defiant that many validators would withdraw their accumulated Ether rewards with the intention of staking the coins to earn additional yield after Shapella’s activation. “While there may be some short-term selling pressure in the market, it is likely that the majority of operators will choose to re-stake,” he said. Langley added that validators might also choose to sell off a portion of their rewards to cover their tax obligations. Mark Monfort, the director of web3 venture firm, NotCentralised, was skeptical of the theory that Ethereum stakers would exit en masse, arguing that many stakers deposited Ether at higher prices and were unwilling to realize a loss. “With the current price of Ether lower than when many users staked their funds, it’s also possible that these holders may not want to sell at a loss, which could limit the impact on the market,” Montfort told The Defiant. According to Dune Analytics, 70% of ETH stakers paid above the current price of Ether to accumulate their stake. However, when factoring in accrued rewards, 48% of stakers remain unprofitable. The average price staked Ether was purchased for is $2,136, according to Nansen. Thurman doesn’t think sell pressure will surge in the event the Ether rallies past $2,136. “Because a lot of retail investors were staking via LSDs [such as Lido], they sort of already had the chance to sell” by selling liquid staking derivatives like stETH or rETH, he said. “But it is possible some of these larger institutional players might keep an eye on that number.” ']"
Title,Summary
"['Ether Surges Past $2,000 After Successful Upgrade']","['Markets Rally After Data Shows US Economy Cooling By: Owen Fernau Ether is trading above $2,000 for the first time since August 2022, a day after its heavily anticipated Shapella upgrade was executed successfully, up nearly 5% on the day. Bitcoin has been on a roll of its own, surpassing $30,000 for the first time since June on April 11. The world’s largest digital asset is up 8% in the past week. LDO and RPL, the governance tokens of major liquid staking providers Lido Finance and Rocket Pool, dropped significantly in the week leading up to Shapella — both are down over 5% on the week, but have bounced back in the past 24 hours. XRD, the native token of Radix, a DeFi-focused blockchain which launched in 2021, is the top gainer among the top 100 digital assets by market capitalization, up 26% in the past 24 hours. Solana’s SOL is outperforming among larger Layer 1 smart contract platforms — the digital asset is up over 17% on the week. Solana’s much-hyped mobile device is launching today, which may be driving SOL price action. Other Layer 1 tokens, like NEAR and FTM, have also posted strong weeks, with each up 9% or more in that span. Markets caught a tailwind after a report from the U.S. Department of Labor showed that initial jobless claims are at the highest levels since January 2022. The Consumer Price Index report also came out yesterday from the U.S. Bureau of Labor Statistics — CPI clocked in at an annualized rate of 5%. While the figure is down from its peak of 9.1% in June 2022, the United States has still seen annualized inflation of over 5% for the past 21 months. Annualized CPI. Source: BLS The Fed also released the minutes from its March meeting on April 12. The statement included the prediction of a mild recession later this year. Investors are no doubt hoping that rising unemployment coupled with cooling inflation leads the US central bank to take a more accommodative stance. However, markets still predict another 25 basis point hike when the Fed next meets on May 3. May 3 Rate Probabilities. Source: CME FedWatch The anticipated hike represents a reversal from last week, when traders saw a cessation of hikes as being more likely. ']"
Title,Summary
